best_f1,best_f1_threshold,f1_at_3s,false_alarm_at_3s,false_alarm_at_best,label,model,pr_auc,precision_at_3s,precision_at_best,recall_at_3s,recall_at_best,roc_auc,scorer,z_scale
0.8181818181818182,0.26959088444709767,,,0.3,GRU Baseline,gru,0.7832294264095713,,0.75,,0.9,0.8063888888888889,mean_z,
0.8059701492537312,0.36424579954983893,,,0.3333333333333333,GRU Baseline,gru,0.7316244121589773,,0.7297297297297297,,0.9,0.7691666666666667,max_z,
0.8244274809160305,0.009730480594985318,,,0.2833333333333333,GRU Baseline,gru,0.9018044075587035,,0.7605633802816901,,0.9,0.8883333333333333,pos_z_mean,
0.8181818181818182,0.0157128424105937,,,0.3,GRU Baseline,gru,0.9038180712917308,,0.75,,0.9,0.8895833333333333,pos_z_peak,
0.8181818181818182,0.6960546573003132,0.5813953488372093,0.016666666666666666,0.3,GRU Baseline,gru,0.9038180712917308,0.9615384615384616,0.75,0.4166666666666667,0.9,0.8895833333333333,pos_z_peak_cal,0.0225741517370783
0.8253968253968254,1.8147700585817035,,,0.23333333333333334,GRU Baseline,gru,0.9047242817179499,,0.7878787878787878,,0.8666666666666667,0.8922222222222222,ade_km,
0.7968749999999999,0.29712708738812227,,,0.2833333333333333,TCN,tcn,0.8117098168567036,,0.75,,0.85,0.8161111111111111,mean_z,
0.7786259541984734,0.4322545580696641,,,0.3333333333333333,TCN,tcn,0.7685506016371553,,0.7183098591549296,,0.85,0.7834722222222222,max_z,
0.8396946564885496,0.008124383885348052,,,0.26666666666666666,TCN,tcn,0.9073531228020688,,0.7746478873239436,,0.9166666666666666,0.8894444444444445,pos_z_mean,
0.8281250000000001,0.016344520050966944,,,0.25,TCN,tcn,0.902030135368684,,0.7794117647058824,,0.8833333333333333,0.8870833333333333,pos_z_peak,
0.8281250000000001,0.7453936171113397,0.5977011494252873,0.016666666666666666,0.25,TCN,tcn,0.902030135368684,0.9629629629629629,0.7794117647058824,0.43333333333333335,0.8833333333333333,0.8870833333333333,pos_z_peak_cal,0.021927367974905188
0.816,1.7300344872892945,,,0.23333333333333334,TCN,tcn,0.9011732334668472,,0.7846153846153846,,0.85,0.8808333333333334,ade_km,
0.8125,0.22308152731050523,,,0.26666666666666666,Transformer,transformer,0.8451880101437717,,0.7647058823529411,,0.8666666666666667,0.8386111111111111,mean_z,
0.7967479674796747,0.45924945567783554,,,0.23333333333333334,Transformer,transformer,0.8033554823483684,,0.7777777777777778,,0.8166666666666667,0.8040277777777778,max_z,
0.8661417322834646,0.007960514492240913,,,0.2,Transformer,transformer,0.9232717795912905,,0.8208955223880597,,0.9166666666666666,0.91,pos_z_mean,
0.8571428571428572,0.018750310989848355,,,0.13333333333333333,Transformer,transformer,0.9234207269444337,,0.864406779661017,,0.85,0.9090277777777778,pos_z_peak,
0.8571428571428572,1.135212176724484,0.6292134831460675,0.016666666666666666,0.13333333333333333,Transformer,transformer,0.9234207269444337,0.9655172413793104,0.864406779661017,0.4666666666666667,0.85,0.9090277777777778,pos_z_peak_cal,0.016517010220929922
0.8461538461538461,1.314930326060245,,,0.25,Transformer,transformer,0.922727520153028,,0.7857142857142857,,0.9166666666666666,0.9086111111111111,ade_km,
0.8064516129032259,0.2896872016421535,,,0.23333333333333334,Transformer 6.6M,transformer_6m,0.8439054119050432,,0.78125,,0.8333333333333334,0.8405555555555555,mean_z,
0.791044776119403,0.28043247158067275,,,0.35,Transformer 6.6M,transformer_6m,0.8107430504246911,,0.7162162162162162,,0.8833333333333333,0.8141666666666667,max_z,
0.8527131782945736,0.007449497321718617,,,0.23333333333333334,Transformer 6.6M,transformer_6m,0.9292684308240549,,0.7971014492753623,,0.9166666666666666,0.9166666666666666,pos_z_mean,
0.8495575221238938,0.020372329181746418,,,0.08333333333333333,Transformer 6.6M,transformer_6m,0.9332485912944148,,0.9056603773584906,,0.8,0.9252777777777778,pos_z_peak,
0.8495575221238938,1.3460060609014401,0.7157894736842105,0.016666666666666666,0.08333333333333333,Transformer 6.6M,transformer_6m,0.9332485912944148,0.9714285714285714,0.9056603773584906,0.5666666666666667,0.8,0.9252777777777778,pos_z_peak_cal,0.015135391437438096
0.8444444444444444,1.035742776435718,,,0.3,Transformer 6.6M,transformer_6m,0.9326495165989221,,0.76,,0.95,0.9208333333333333,ade_km,
